Hybrid: 5 Parents: 2 and 44	 0.951770 0.3416085477172124
Hybrid: 5 Parents: 2 and 45	 3.108175 0.0023178958232719
Hybrid: 45 Parents: 2 and 5	 3.108175 0.0023178958232719
Hybrid: 5 Parents: 2 and 46	 3.108175 0.0023178958232719
Hybrid: 46 Parents: 2 and 5	 3.108175 0.0023178958232719
Hybrid: 5 Parents: 2 and 47	 3.108175 0.0023178958232719
Hybrid: 47 Parents: 2 and 5	 3.108175 0.0023178958232719
Hybrid: 5 Parents: 2 and 48	 3.107953 0.0023193750683128
Hybrid: 48 Parents: 2 and 5	 3.107953 0.0023193750683128
Hybrid: 5 Parents: 2 and 49	 3.107961 0.0023193186291484
Hybrid: 49 Parents: 2 and 5	 3.107961 0.0023193186291484
Hybrid: 5 Parents: 2 and 50	 0.951861 0.3415628334103231
Hybrid: 5 Parents: 2 and 51	 3.107962 0.0023193133132480
Hybrid: 51 Parents: 2 and 5	 3.107962 0.0023193133132480
Hybrid: 5 Parents: 2 and 52	 3.107962 0.0023193133132480
Hybrid: 52 Parents: 2 and 5	 3.107962 0.0023193133132480
Hybrid: 6 Parents: 2 and 7	 3.124418 0.0022123399251832
Hybrid: 7 Parents: 2 and 6	 3.124418 0.0022123399251832
Hybrid: 6 Parents: 2 and 8	 3.124753 0.0022102113156377
Hybrid: 8 Parents: 2 and 6	 3.124753 0.0022102113156377
Hybrid: 6 Parents: 2 and 9	 3.125387 0.0022061961329802
Hybrid: 9 Parents: 2 and 6	 3.125387 0.0022061961329802
Hybrid: 6 Parents: 2 and 10	 3.125493 0.0022055227748086
Hybrid: 10 Parents: 2 and 6	 3.125493 0.0022055227748086
Hybrid: 6 Parents: 2 and 11	 3.125493 0.0022055210739464
Hybrid: 11 Parents: 2 and 6	 3.125493 0.0022055210739464
Hybrid: 6 Parents: 2 and 12	 3.125599 0.0022048515790023
Hybrid: 12 Parents: 2 and 6	 3.125599 0.0022048515790023
Hybrid: 6 Parents: 2 and 13	 3.125808 0.0022035257457209
Hybrid: 13 Parents: 2 and 6	 3.125808 0.0022035257457209
Hybrid: 6 Parents: 2 and 14	 3.126119 0.0022015626011238
Hybrid: 14 Parents: 2 and 6	 3.126119 0.0022015626011238
Hybrid: 6 Parents: 2 and 15	 3.125704 0.0022041842131630
Hybrid: 15 Parents: 2 and 6	 3.125704 0.0022041842131630
Hybrid: 6 Parents: 2 and 16	 3.125704 0.0022041842131630
Hybrid: 16 Parents: 2 and 6	 3.125704 0.0022041842131630
Hybrid: 6 Parents: 2 and 17	 3.125599 0.0022048532795553
Hybrid: 17 Parents: 2 and 6	 3.125599 0.0022048532795553
Hybrid: 6 Parents: 2 and 18	 3.125599 0.0022048532795553
Hybrid: 18 Parents: 2 and 6	 3.125599 0.0022048532795553
Hybrid: 6 Parents: 2 and 19	 3.125704 0.0022041876141055
Hybrid: 19 Parents: 2 and 6	 3.125704 0.0022041876141055
Hybrid: 6 Parents: 2 and 20	 3.125704 0.0022041876141055
Hybrid: 20 Parents: 2 and 6	 3.125704 0.0022041876141055
Hybrid: 6 Parents: 2 and 21	 3.125704 0.0022041876141055
Hybrid: 21 Parents: 2 and 6	 3.125704 0.0022041876141055
Hybrid: 6 Parents: 2 and 22	 3.125599 0.0022048532795553
Hybrid: 22 Parents: 2 and 6	 3.125599 0.0022048532795553
Hybrid: 6 Parents: 2 and 23	 1.375277 0.1691300261380249
Hybrid: 6 Parents: 2 and 24	 1.694582 0.0897380526579434
Hybrid: 6 Parents: 2 and 25	 0.952021 0.3414819375925071
Hybrid: 6 Parents: 2 and 26	 1.375578 0.1690362118152440
Hybrid: 6 Parents: 2 and 27	 1.375511 0.1690572205892735
Hybrid: 6 Parents: 2 and 28	 1.375528 0.1690519101245391
Hybrid: 6 Parents: 2 and 29	 0.952015 0.3414846444882875
Hybrid: 6 Parents: 2 and 30	 1.375493 0.1690625706251738
Hybrid: 6 Parents: 2 and 31	 0.951965 0.3415099424003181
Hybrid: 6 Parents: 2 and 32	 0.568350 0.5693876009445553
Hybrid: 6 Parents: 2 and 33	 0.952062 0.3414609826863411
Hybrid: 6 Parents: 2 and 34	 0.952057 0.3414635359327340
Hybrid: 6 Parents: 2 and 35	 0.952067 0.3414584477218112
Hybrid: 6 Parents: 2 and 36	 0.568336 0.5693973514550064
Hybrid: 6 Parents: 2 and 37	 0.952047 0.3414686980679349
Hybrid: 6 Parents: 2 and 38	 0.690748 0.4895585896175376
Hybrid: 38 Parents: 2 and 6	 0.690748 0.4895585896175376
Hybrid: 6 Parents: 2 and 39	 0.952057 0.3414635359327340
Hybrid: 6 Parents: 2 and 40	 0.690736 0.4895660139303568
Hybrid: 40 Parents: 2 and 6	 0.690736 0.4895660139303568
Hybrid: 6 Parents: 2 and 41	 3.107510 0.0023223206336977
Hybrid: 41 Parents: 2 and 6	 3.107510 0.0023223206336977
Hybrid: 6 Parents: 2 and 42	 3.107283 0.0023238384312798
Hybrid: 42 Parents: 2 and 6	 3.107283 0.0023238384312798
Hybrid: 6 Parents: 2 and 43	 3.105327 0.0023369115972400
Hybrid: 43 Parents: 2 and 6	 3.105327 0.0023369115972400
Hybrid: 6 Parents: 2 and 44	 0.951770 0.3416085477172124
Hybrid: 6 Parents: 2 and 45	 3.108175 0.0023178958232719
Hybrid: 45 Parents: 2 and 6	 3.108175 0.0023178958232719
Hybrid: 6 Parents: 2 and 46	 3.108175 0.0023178958232719
Hybrid: 46 Parents: 2 and 6	 3.108175 0.0023178958232719
Hybrid: 6 Parents: 2 and 47	 3.108175 0.0023178958232719
Hybrid: 47 Parents: 2 and 6	 3.108175 0.0023178958232719
Hybrid: 6 Parents: 2 and 48	 3.107953 0.0023193750683128
Hybrid: 48 Parents: 2 and 6	 3.107953 0.0023193750683128
Hybrid: 6 Parents: 2 and 49	 3.107961 0.0023193186291484
Hybrid: 49 Parents: 2 and 6	 3.107961 0.0023193186291484
Hybrid: 6 Parents: 2 and 50	 0.951861 0.3415628334103231
Hybrid: 6 Parents: 2 and 51	 3.107962 0.0023193133132480
Hybrid: 51 Parents: 2 and 6	 3.107962 0.0023193133132480
Hybrid: 6 Parents: 2 and 52	 3.107962 0.0023193133132480
Hybrid: 52 Parents: 2 and 6	 3.107962 0.0023193133132480
Hybrid: 7 Parents: 2 and 8	 3.124974 0.0022088130106257
Hybrid: 8 Parents: 2 and 7	 3.124974 0.0022088130106257
Hybrid: 7 Parents: 2 and 9	 3.124530 0.0022116261859073
Hybrid: 9 Parents: 2 and 7	 3.124530 0.0022116261859073
Hybrid: 7 Parents: 2 and 10	 3.124530 0.0022116261859073
Hybrid: 10 Parents: 2 and 7	 3.124530 0.0022116261859073
Hybrid: 7 Parents: 2 and 11	 3.124753 0.0022102093905090
Hybrid: 11 Parents: 2 and 7	 3.124753 0.0022102093905090
Hybrid: 7 Parents: 2 and 12	 3.124642 0.0022109147362934
Hybrid: 12 Parents: 2 and 7	 3.124642 0.0022109147362934
Hybrid: 7 Parents: 2 and 13	 3.124530 0.0022116261859073
Hybrid: 13 Parents: 2 and 7	 3.124530 0.0022116261859073
Hybrid: 7 Parents: 2 and 14	 3.124642 0.0022109166617901
Hybrid: 14 Parents: 2 and 7	 3.124642 0.0022109166617901
Hybrid: 7 Parents: 2 and 15	 3.124864 0.0022095081859292
Hybrid: 15 Parents: 2 and 7	 3.124864 0.0022095081859292
Hybrid: 7 Parents: 2 and 16	 3.124974 0.0022088110862262
Hybrid: 16 Parents: 2 and 7	 3.124974 0.0022088110862262
Hybrid: 7 Parents: 2 and 17	 3.124642 0.0022109166617901
Hybrid: 17 Parents: 2 and 7	 3.124642 0.0022109166617901
Hybrid: 7 Parents: 2 and 18	 3.124530 0.0022116261859073
Hybrid: 18 Parents: 2 and 7	 3.124530 0.0022116261859073
Hybrid: 7 Parents: 2 and 19	 3.124530 0.0022116261859073
Hybrid: 19 Parents: 2 and 7	 3.124530 0.0022116261859073
Hybrid: 7 Parents: 2 and 20	 3.124418 0.0022123399251832
Hybrid: 20 Parents: 2 and 7	 3.124418 0.0022123399251832
Hybrid: 7 Parents: 2 and 21	 3.124974 0.0022088130106257
Hybrid: 21 Parents: 2 and 7	 3.124974 0.0022088130106257
Hybrid: 7 Parents: 2 and 22	 3.124753 0.0022102113156377
Hybrid: 22 Parents: 2 and 7	 3.124753 0.0022102113156377
Hybrid: 7 Parents: 2 and 23	 1.375351 0.1691068501806128
Hybrid: 7 Parents: 2 and 24	 1.694690 0.0897175910034433
Hybrid: 7 Parents: 2 and 25	 0.951971 0.3415070454695459
Hybrid: 7 Parents: 2 and 26	 1.375406 0.1690899301464284
Hybrid: 7 Parents: 2 and 27	 1.375333 0.1691125771618329
Hybrid: 7 Parents: 2 and 28	 1.375370 0.1691011670170104
Hybrid: 7 Parents: 2 and 29	 0.951960 0.3415128616735943
Hybrid: 7 Parents: 2 and 30	 1.375315 0.1691183484693854
Hybrid: 7 Parents: 2 and 31	 0.951918 0.3415339444907715
Hybrid: 7 Parents: 2 and 32	 0.568365 0.5693770695060114
Hybrid: 7 Parents: 2 and 33	 0.952015 0.3414846444882875
Hybrid: 7 Parents: 2 and 34	 0.951999 0.3414928871444283
Hybrid: 7 Parents: 2 and 35	 0.952031 0.3414765834416809
Hybrid: 7 Parents: 2 and 36	 0.568345 0.5693906040378787
Hybrid: 7 Parents: 2 and 37	 0.952004 0.3414901190361164
Hybrid: 7 Parents: 2 and 38	 0.690769 0.4895452728342087
Hybrid: 38 Parents: 2 and 7	 0.690769 0.4895452728342087
Hybrid: 7 Parents: 2 and 39	 0.952004 0.3414901190361164
Hybrid: 7 Parents: 2 and 40	 0.690762 0.4895500340685426
Hybrid: 40 Parents: 2 and 7	 0.690762 0.4895500340685426
Hybrid: 7 Parents: 2 and 41	 3.105026 0.0023389257688480
Hybrid: 41 Parents: 2 and 7	 3.105026 0.0023389257688480
Hybrid: 7 Parents: 2 and 42	 3.105274 0.0023372682689857
Hybrid: 42 Parents: 2 and 7	 3.105274 0.0023372682689857
Hybrid: 7 Parents: 2 and 43	 3.102909 0.0023531732069497
Hybrid: 43 Parents: 2 and 7	 3.102909 0.0023531732069497
Hybrid: 7 Parents: 2 and 44	 0.951686 0.3416514619161615
Hybrid: 7 Parents: 2 and 45	 3.105753 0.0023340556705236
Hybrid: 45 Parents: 2 and 7	 3.105753 0.0023340556705236
Hybrid: 7 Parents: 2 and 46	 3.105753 0.0023340556705236
Hybrid: 46 Parents: 2 and 7	 3.105753 0.0023340556705236
Hybrid: 7 Parents: 2 and 47	 3.105753 0.0023340556705236
Hybrid: 47 Parents: 2 and 7	 3.105753 0.0023340556705236
Hybrid: 7 Parents: 2 and 48	 3.105753 0.0023340556705236
Hybrid: 48 Parents: 2 and 7	 3.105753 0.0023340556705236
Hybrid: 7 Parents: 2 and 49	 3.105520 0.0023356195910607
Hybrid: 49 Parents: 2 and 7	 3.105520 0.0023356195910607
Hybrid: 7 Parents: 2 and 50	 0.951792 0.3415975461167424
Hybrid: 7 Parents: 2 and 51	 3.105764 0.0023339855698050
Hybrid: 51 Parents: 2 and 7	 3.105764 0.0023339855698050
Hybrid: 7 Parents: 2 and 52	 3.105521 0.0023356135526342
Hybrid: 52 Parents: 2 and 7	 3.105521 0.0023356135526342
Hybrid: 8 Parents: 2 and 9	 3.124530 0.0022116261859073
Hybrid: 9 Parents: 2 and 8	 3.124530 0.0022116261859073
Hybrid: 8 Parents: 2 and 10	 3.124642 0.0022109166617901
Hybrid: 10 Parents: 2 and 8	 3.124642 0.0022109166617901
Hybrid: 8 Parents: 2 and 11	 3.124753 0.0022102093905090
Hybrid: 11 Parents: 2 and 8	 3.124753 0.0022102093905090
Hybrid: 8 Parents: 2 and 12	 3.124864 0.0022095081859292
Hybrid: 12 Parents: 2 and 8	 3.124864 0.0022095081859292
Hybrid: 8 Parents: 2 and 13	 3.124530 0.0022116261859073
Hybrid: 13 Parents: 2 and 8	 3.124530 0.0022116261859073
Hybrid: 8 Parents: 2 and 14	 3.124864 0.0022095101106925
Hybrid: 14 Parents: 2 and 8	 3.124864 0.0022095101106925
Hybrid: 8 Parents: 2 and 15	 3.124864 0.0022095081859292
Hybrid: 15 Parents: 2 and 8	 3.124864 0.0022095081859292
Hybrid: 8 Parents: 2 and 16	 3.125083 0.0022081180554943
Hybrid: 16 Parents: 2 and 8	 3.125083 0.0022081180554943
Hybrid: 8 Parents: 2 and 17	 3.124642 0.0022109166617901
Hybrid: 17 Parents: 2 and 8	 3.124642 0.0022109166617901
Hybrid: 8 Parents: 2 and 18	 3.124642 0.0022109166617901
Hybrid: 18 Parents: 2 and 8	 3.124642 0.0022109166617901
